Base,Dirección,Colonia,m2,Clasif.,Antigüedad,Clasif.,Elev,Est,Rec,Bañ,"Interior 
Exteriror",Balcón,Roof privado/ Patio interior,m2 Roof privado/ Patio interior,Amenidades,Bodega,Cuarto de servicio,Jaula de tendido,Seguridad,Costo Mantenimiento,Precio de venta,Sin Estacionamiento,$/m2,$/m2 (-5%),$/m2 sin est,Link
CK Leads,Insurgentes centro 23,San Rafael,63,1,55,8,Sí,1,1,1,Exterior,,,,No,,,,Sí,,"$1,650,000","$1,527,179","$26,190","$24,881","$24,241",
CK Leads,Cuauhtemoc 187,Roma Norte,63,1,2,1,No,0,1,1,Exterior,,,,No,,,,No,,"$2,450,000","$2,327,179","$38,889","$36,944","$36,939",
CK Leads,Zacahuitzo 78,Carmen,63,1,12,4,Sí,1,2,2,Exterior,,,,Sí,Sí,No,,Sí,950,"$2,284,000","$2,161,179","$36,254","$34,441","$34,304",
CK Leads,Medellin 358,Roma Sur,63,1,10,3,Sí,1,2,1,Exterior,Sí,,,No,No,No,,Sí,1450,"$2,730,000","$2,607,179","$43,333","$41,167","$41,384",
CK Leads,Lousiana 170,Napoles,64,1,10,3,Sí,1,1,1.5,Exterior,,,,Sí,,,,Sí,1000,"$3,500,000","$3,377,179","$54,688","$51,953","$52,768",
CK Leads,Indianapolis 89,Napoles,64,1,13,4,Sí,1,2,1,Exterior,,,,Sí,,,,Sí,1500,"$3,200,000","$3,077,179","$50,000","$47,500","$48,081",
CK Leads,Av Cuauhtemoc 975,Narvarte Poniente,64,1,7,3,Sí,1,2,1,Exterior ,Sí,,,Sí,Sí,,,Sí,1250,"$2,690,000","$2,567,179","$42,031","$39,930","$40,112",
CK Leads,Boulevard Adolfo Lopez Mateos 155 ,Nonoalco ,65,1,6,3,Sí,1,2,2,Interior,,,,No,,,,Sí,1000,"$2,300,000","$2,177,179","$35,385","$33,615","$33,495",
CK Leads,Jose Maria Vertiz 1155,Vertiz Narvarte,65,1,13,4,Sí,1,2,2,Exterior,,,,No,,,,Sí,1700,"$3,150,000","$3,027,179","$48,462","$46,038","$46,572",
CK Leads,Antonio Van Dick 14,Nonoalco ,65,1,7,3,Sí,1,2,2,Interior,,,,No,,,,Sí,1300,"$2,900,000","$2,777,179","$44,615","$42,385","$42,726",
CK Leads,"Mier y Pesado 318, depto 407",Del Valle Norte,65,1,4,2,Sí,1,2,2,Interior,,,,Sí,,,,Sí,1600,"$3,200,000","$3,077,179","$49,231","$46,769","$47,341",
CK Leads,Filipinas 701 bis,Portales Sur,65,1,7,3,No,1,2,1,Exterior ,,,,No,,,,Sí,700,"$2,300,000","$2,177,179","$35,385","$33,615","$33,495",
CK Leads,Carlos Dolci 134,Alfonso XIII,65,1,7,3,Sí,1,2,2,Interior ,,65,,,Sí,No,,Sí,,"$2,790,000","$2,667,179","$42,923","$40,777","$41,034",
CK Leads,canarias 73,Portales Norte,53,1,14,4,No,1,2,1,Exterior ,No,,,No,No,No,,Sí,600,"$2,000,000","$1,877,179","$37,736","$35,849","$35,418",
CK Leads,Victor Hugo 151,Portales Norte,54,1,49,7,No,0,2,1,Interior,,,,No,,,,Sí,200,"$1,890,000","$1,767,179","$35,000","$33,250","$32,726",
CK Leads,Parque Mariscal Sucre 15,Del Valle Norte,67,2,10,3,Sí,2,2,2,Interior,,,,No,,,,Sí,,"$3,400,000","$3,277,179","$50,746","$48,209","$48,913",
CK Leads,romero 108,Niños Heroes de Chapultepec,67,2,8,3,Sí,1,2,1,Exterior ,Sí,,,Sí,Sí,,,Sí,1200,"$2,200,000","$2,077,179","$32,836","$31,194","$31,003",
CK Leads,Zempoala 9,Narvarte Oriente,68,2,10,3,Sí,1,2,2,Interior,No,,,Sí,No,,,Sí,1200,"$2,900,000","$2,777,179","$42,647","$40,515","$40,841",
CK Leads,Parroquia 1435,Del Valle Centro,69,2,55,8,Sí,0,1,1,Exterior,No,,,Sí,No,No,,No,300,"$2,400,000","$2,277,179","$34,783","$33,043","$33,003",
CK Leads,victor hugo 159,portales norte,55,1,40,7,No,0,2,1,Interior,,No,,No,No,No,Sí,No,200,"$1,800,000","$1,677,179","$32,727","$31,091","$30,494",
CK Leads,Rafael Solana Verdugillo 5,Independencia,70,2,5,2,Sí,1,2,2,Interior,,,,No,,,,Sí,1000,"$3,100,000","$2,977,179","$44,286","$42,071","$42,531",
CK Leads,"Gabriel Mancera 1164, depto 202",Del Valle Centro,70,2,45,7,No,0,2,1,Exterior,Sí,,,No,No,No,,Sí,1100,"$2,650,000","$2,527,179","$37,857","$35,964","$36,103",
CK Leads,Nuevo León 209,Hipodromo Condesa,70,2,36,7,Sí,1,1,1,Exterior,Sí,,,No,,,,Sí,800,"$3,200,000","$3,077,179","$45,714","$43,429","$43,960",
CK Leads,Nuevo León 209,Hipodromo Condesa,70,2,36,7,Sí,1,1,1,Exterior,Sí,,,No,,,,Sí,800,"$3,200,000","$3,077,179","$45,714","$43,429","$43,960",
CK Leads,5 de Febrero 532,alamos,70,2,13,4,Sí,1,2,2,Exterior,,,,,,,,,1200,"$2,890,000","$2,767,179","$41,286","$39,221","$39,531",
CK Leads,"Calle 10, 48B",San Pedro de los Pinos,72,2,40,7,No,1,2,1,Interior,,,,No,,,,Sí,,"$2,300,000","$2,177,179","$31,944","$30,347","$30,239",
CK Leads,Av. Cuauhtemoc 750,Narvarte Poniente,72,2,8,3,Sí,2,2,1.5,Exterior,,,,No,,,,Sí,1500,"$2,950,000","$2,827,179","$40,972","$38,924","$39,266",
CK Leads,Pitágoras 731,Narvarte Poniente,72,2,1,1,Sí,1,2,2,Interior ,,,,Sí,,,,Sí,,"$3,400,000","$3,277,179","$47,222","$44,861","$45,516",
CK Leads,Cuauhtémoc 750,Narvarte Poniente,72,2,8,3,Sí,1,2,2,Exterior ,Sí,,,No,,,,Sí,1500,"$2,950,000","$2,827,179","$40,972","$38,924","$39,266",
CK Leads,"Baja California 119, departamento 12",Roma Sur,72,2,1,1,Sí,1,2,2,Exterior ,Sí,,,No,Sí,,,Sí,2950,"$4,300,000","$4,177,179","$59,722","$56,736","$58,016",
CK Leads,Av. Universidad 1900,Narvarte Poniente,72,2,40,7,,1,2,1,,,,,,,,,,,"$2,900,000","$2,777,179","$40,278","$38,264","$38,572",
CK Leads,emperadores 184,portales norte,55,1,40,7,No,0,2,1,Interior,,No,,No,No,No,Sí,No,300,"$1,590,000","$1,467,179","$28,909","$27,464","$26,676",
CK Leads,"San Antonio 95, Depto 505",Napoles,73,2,0,1,Sí,2,2,2,Exterior,,,,Sí,,,,Sí,2000,"$4,990,000","$4,867,179","$67,900","$64,505","$66,229",
CK Leads,ures 68,Roma Sur,75,2,0,1,,,1,1.5,,,,,,,,,,,"$3,250,000","$3,127,179","$43,333","$41,167","$41,696",
CK Leads,Eje Central 57,Doctores,75,2,3,2,Sí,1,2,2,Interior,,,,No,,,,Sí,1500,"$2,400,000","$2,277,179","$32,000","$30,400","$30,362",
CK Leads,San Antonio 413,San Pedro de los Pinos,75,2,5,2,Sí,2,2,2,Exterior,,,,Sí,,,,Sí,2300,"$3,250,000","$3,127,179","$43,333","$41,167","$41,696",
CK Leads,Antonio Van Dick 33,Nonoalco ,75,2,6,3,Sí,2,2,2,Interior,,,,No,,,,Sí,1800,"$3,500,000","$3,377,179","$46,667","$44,333","$45,029",
CK Leads,"Parque Lira 125, depto 407",San Miguel Chapultepec I Seccion,75,2,52,8,No,1,2,1,Interior,,,,No,No,,,Sí,600,"$2,450,000","$2,327,179","$32,667","$31,033","$31,029",
